FID,Join_Count,OID,Join_Count,TARGET_FID,Join_Cou_1,Target_F_1,StateAbbr,PlaceName,PlaceFIPS,TractFIPS,Place_Trac,Population,MHLTH_Crud,PHLTH_Crud,Geolocatio,lat,long,MHLTH_Medi,PHLTH_Medi,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22,Field23,Field24,Field25,Field26,Field27,Field28,Field29,Field30,Field31,Field32,Field33,Field34,Field35,Field36,Field37,Field38,Field39,Field40,Field41,Field42,Field43,Field44,Field45,Field46,LPA_CrudeP,Field48,Field49,Field50,Field51,Field52,Field53,Field54,Field55,Field56,PHLTH_Cr_1,MHLTH,PHLTH,Health,Distance,Dist_HLTH
50,1,50,1,50,0,0,MA,Boston,2507000,25025080500,2507000-25025080500,3096,18.6,17.2,"(42.33568235950, -71.0825418095)",42.33568236,-71.08254181,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,1,2.5,3,5.5
51,1,51,1,51,0,0,MA,Boston,2507000,25025010404,2507000-25025010404,5817,19.4,7.9,"(42.34196670870, -71.0886374471)",42.34196671,-71.08863745,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,0,1.5,3,4.5
52,1,52,1,52,0,0,MA,Boston,2507000,25025101001,2507000-25025101001,5480,16.2,16.1,"(42.27218510070, -71.1001707884)",42.2721851,-71.10017079,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,1,2.5,1,3.5
53,1,53,1,53,0,0,MA,Boston,2507000,25025101002,2507000-25025101002,4979,15.6,15.5,"(42.27415285620, -71.0859477193)",42.27415286,-71.08594772,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,1,2.5,3,5.5
54,1,54,1,54,0,0,MA,Boston,2507000,25025070900,2507000-25025070900,3329,14.3,11.3,"(42.33842826000, -71.0781590586)",42.33842826,-71.07815906,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,1,2.5,3,5.5
55,1,55,1,55,0,0,MA,Boston,2507000,25025100300,2507000-25025100300,3303,15.4,13.6,"(42.28279794940, -71.0797971888)",42.28279795,-71.07979719,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,1,2.5,2,4.5
56,1,56,1,56,0,0,MA,Boston,2507000,25025081400,2507000-25025081400,3003,14.4,12.2,"(42.32776023930, -71.0937549506)",42.32776024,-71.09375495,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,1,2.5,3,5.5
57,1,57,1,57,0,0,MA,Boston,2507000,25025090700,2507000-25025090700,4275,13.6,11.3,"(42.32413104830, -71.0600286096)",42.32413105,-71.06002861,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,1,2.5,2,4.5
58,1,58,1,58,0,0,MA,Boston,2507000,25025090200,2507000-25025090200,2233,19.1,17.4,"(42.30713782640, -71.0790559348)",42.30713783,-71.07905593,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,1,2.5,3,5.5
59,1,59,1,59,0,0,MA,Boston,2507000,25025091900,2507000-25025091900,3860,16.3,14.2,"(42.30084082620, -71.0755307908)",42.30084083,-71.07553079,13.2,10.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , ,0,1.5,1,2.5,3,5.5
