FID,SOURCE_ID,Health,GiZScore,GiPValue,NNeighbors,Gi_Bin
122,122,0.000000000000000,5.051739594920000,0.000000437804311,53,3
123,123,0.000000000000000,1.362877726820000,0.172921049407000,110,0
124,124,0.000000000000000,-1.547300946420000,0.121790693638000,77,0
125,125,0.000000000000000,5.736988123130000,0.000000009637501,43,3
126,126,0.000000000000000,1.023990229990000,0.305839903883000,53,0
127,127,0.000000000000000,-0.424712201208000,0.671046489366000,40,0
128,128,0.000000000000000,-2.671513495380000,0.007551003610680,64,-3
129,129,0.000000000000000,0.498591588025000,0.618067134282000,96,0
130,130,0.000000000000000,0.596747444365000,0.550676014417000,84,0
131,131,0.000000000000000,-1.343847342910000,0.178997756634000,29,0
132,132,0.000000000000000,5.030984721390000,0.000000487967038,80,3
133,133,1.000000000000000,4.430834402770000,0.000009386915607,54,3
134,134,0.000000000000000,-1.923790339860000,0.054380868779300,74,-1
135,135,0.000000000000000,0.150542620292000,0.880336527768000,112,0
136,136,0.000000000000000,-0.837104053900000,0.402534090105000,84,0
137,137,1.000000000000000,5.357647518570000,0.000000084312522,80,3
138,138,0.000000000000000,0.234037257910000,0.814956054310000,17,0
139,139,1.000000000000000,1.419655272880000,0.155708065429000,28,0
140,140,0.000000000000000,-2.083312521780000,0.037222746102400,42,-2
141,141,0.000000000000000,-2.591705987310000,0.009550135008510,33,-3
142,142,0.000000000000000,-2.430558183900000,0.015075585294800,68,-2
143,143,0.000000000000000,0.592558811491000,0.553476453944000,104,0
144,144,0.000000000000000,2.604939057930000,0.009189060269700,112,3
145,145,0.000000000000000,-0.222396095874000,0.824005550934000,96,0
146,146,0.000000000000000,0.652947949503000,0.513789839220000,93,0
147,147,0.000000000000000,1.096535494180000,0.272844516301000,98,0
148,148,0.000000000000000,3.461388564870000,0.000537396549286,110,3
149,149,0.000000000000000,-2.265273394950000,0.023495907630100,21,-2
150,150,0.000000000000000,-1.325333339650000,0.185060615765000,32,0
151,151,1.000000000000000,1.029915235330000,0.303049812697000,51,0
152,152,1.000000000000000,2.647444618530000,0.008110264272480,66,3
153,153,0.000000000000000,-2.269650643320000,0.023228788289100,19,-2
154,154,0.000000000000000,-2.392240295710000,0.016745874622100,17,-2
155,155,0.000000000000000,-1.530378723300000,0.125923012375000,115,0
156,156,0.000000000000000,2.450827637650000,0.014252818460000,81,2
157,157,0.000000000000000,3.605098192080000,0.000312034926595,95,3
158,158,0.000000000000000,-1.708628971960000,0.087519698522000,107,-1
