OID,Join_Count,TARGET_FID,Join_Cou_1,TARGET_F_1,StateAbbr,PlaceName,PlaceFIPS,TractFIPS,Place_Trac,Population,MHLTH_Crud,PHLTH_Crud,Geolocatio,lat,long,MHLTH_Medi,PHLTH_Medi,MHLTH,PHLTH,Health,Distance,Dist_HLTH
-1,1,220,1,220,MI,Detroit,2622000,26163544000.000000000000000,2622000-26163544000,2178,18.199999999999999,17.600000000000001,"(42.38239637550, -83.2671853505)",42.382396380000003,-83.267185350000005,18.449999999999999,19.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,2,2.000000000000000
-1,1,221,1,221,MI,Detroit,2622000,26163542400.000000000000000,2622000-26163542400,2622,17.699999999999999,19.000000000000000,"(42.39089031310, -83.2036174888)",42.390890310000003,-83.203617489999999,18.449999999999999,19.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,1,1.000000000000000
-1,1,222,1,222,MI,Detroit,2622000,26163536500.000000000000000,2622000-26163536500,2363,16.899999999999999,18.899999999999999,"(42.38844625610, -83.1445271677)",42.388446260000002,-83.144527170000003,18.449999999999999,19.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,2,2.000000000000000
-1,1,223,1,223,MI,Detroit,2622000,26163535300.000000000000000,2622000-26163535300,4028,17.699999999999999,19.300000000000001,"(42.37272515470, -83.1899688378)",42.372725150000001,-83.189968840000006,18.449999999999999,19.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,3,3.000000000000000
-1,1,224,1,224,MI,Detroit,2622000,26163533200.000000000000000,2622000-26163533200,1656,16.899999999999999,20.000000000000000,"(42.36871132070, -83.1111288757)",42.368711320000003,-83.111128879999995,18.449999999999999,19.699999999999999,0.000000000000000,1.000000000000000,1.000000000000000,3,4.000000000000000
-1,1,225,1,225,MI,Detroit,2622000,26163539600.000000000000000,2622000-26163539600,3310,16.800000000000001,19.399999999999999,"(42.42678388160, -83.1911640170)",42.426783880000002,-83.191164020000002,18.449999999999999,19.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,3,3.000000000000000
-1,1,226,1,226,MI,Detroit,2622000,26163517000.000000000000000,2622000-26163517000,2360,10.699999999999999,11.199999999999999,"(42.34081051260, -83.0361036885)",42.340810509999997,-83.036103690000004,18.449999999999999,19.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,3,3.000000000000000
-1,1,227,1,227,MI,Detroit,2622000,26163504900.000000000000000,2622000-26163504900,3495,17.600000000000001,18.399999999999999,"(42.42633792000, -83.0129966883)",42.426337920000002,-83.012996689999994,18.449999999999999,19.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,2,2.000000000000000
-1,1,228,1,228,MI,Detroit,2622000,26163521400.000000000000000,2622000-26163521400,1192,14.699999999999999,14.800000000000001,"(42.33058367940, -83.0730163578)",42.330583679999997,-83.073016359999997,18.449999999999999,19.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,3,3.000000000000000
-1,1,229,1,229,MI,Detroit,2622000,26163524700.000000000000000,2622000-26163524700,4150,16.000000000000000,19.600000000000001,"(42.27395312930, -83.1526148492)",42.273953130000002,-83.152614850000006,18.449999999999999,19.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,3,3.000000000000000
-1,1,230,1,230,MI,Detroit,2622000,26163546900.000000000000000,2622000-26163546900,1198,18.000000000000000,19.300000000000001,"(42.37391708350, -83.2228471993)",42.373917079999998,-83.222847200000004,18.449999999999999,19.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,3,3.000000000000000
-1,1,231,1,231,MI,Detroit,2622000,26163540300.000000000000000,2622000-26163540300,3823,16.600000000000001,18.100000000000001,"(42.42660884390, -83.2094014991)",42.426608840000000,-83.209401499999998,18.449999999999999,19.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,2,2.000000000000000
-1,1,232,1,232,MI,Detroit,2622000,26163506600.000000000000000,2622000-26163506600,3240,18.399999999999999,19.500000000000000,"(42.43704733380, -83.0485200215)",42.437047329999999,-83.048520019999998,18.449999999999999,19.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,3,3.000000000000000
