OID,Join_Count,TARGET_FID,Join_Cou_1,TARGET_F_1,StateAbbr,PlaceName,PlaceFIPS,TractFIPS,plctract10,Population,MHLTH_Crud,PHLTH_Crud,Geolocatio,lat,long,MHLTH_Medi,PHLTH_Medi,MHLTH,PHLTH,Health,Distance,Dist_HLTH
-1,1,97,1,97,CO,Denver,820000,8031005503.000000000000000,0820000-08031005503,4644,10.000000000000000,10.600000000000000,"(39.63329353550, -105.040621076)",39.633293539999997,-105.040621099999996,10.900000000000000,9.699999999999999,0.000000000000000,1.000000000000000,1.000000000000000,3.000000000000000,4.000000000000000
-1,1,98,1,98,CO,Denver,820000,8031006701.000000000000000,0820000-08031006701,2018,8.900000000000000,5.600000000000000,"(39.63013738030, -104.909404336)",39.630137380000001,-104.909404300000006,10.900000000000000,9.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,1.000000000000000
-1,1,99,1,99,CO,Denver,820000,8031003002.000000000000000,0820000-08031003002,2553,8.800000000000001,7.500000000000000,"(39.67313221930, -104.980542886)",39.673132219999999,-104.980542900000003,10.900000000000000,9.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,3.000000000000000,3.000000000000000
-1,1,100,1,100,CO,Denver,820000,8031004104.000000000000000,0820000-08031004104,4289,10.400000000000000,10.100000000000000,"(39.75651280330, -104.912847526)",39.756512800000003,-104.912847499999998,10.900000000000000,9.699999999999999,0.000000000000000,1.000000000000000,1.000000000000000,1.000000000000000,2.000000000000000
-1,1,101,1,101,CO,Denver,820000,8031003001.000000000000000,0820000-08031003001,5393,8.500000000000000,6.500000000000000,"(39.68661414660, -104.981056370)",39.686614149999997,-104.981056400000000,10.900000000000000,9.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,3.000000000000000,3.000000000000000
-1,1,102,1,102,CO,Denver,820000,8031004103.000000000000000,0820000-08031004103,5093,10.100000000000000,10.000000000000000,"(39.75652442280, -104.931444852)",39.756524419999998,-104.931444900000002,10.900000000000000,9.699999999999999,0.000000000000000,1.000000000000000,1.000000000000000,2.000000000000000,3.000000000000000
-1,1,103,1,103,CO,Denver,820000,8031000402.000000000000000,0820000-08031000402,5314,9.600000000000000,8.100000000000000,"(39.76307167740, -105.017714510)",39.763071680000003,-105.017714499999997,10.900000000000000,9.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,2.000000000000000,2.000000000000000
-1,1,104,1,104,CO,Denver,820000,8031000301.000000000000000,0820000-08031000301,5003,9.800000000000001,8.900000000000000,"(39.77303096560, -105.039231561)",39.773030970000001,-105.039231599999994,10.900000000000000,9.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,2.000000000000000,2.000000000000000
-1,1,105,1,105,CO,Denver,820000,8031000302.000000000000000,0820000-08031000302,4036,8.800000000000001,7.400000000000000,"(39.76393047250, -105.046266515)",39.763930469999998,-105.046266500000002,10.900000000000000,9.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,3.000000000000000,3.000000000000000
-1,1,106,1,106,CO,Denver,820000,8031000303.000000000000000,0820000-08031000303,4504,9.300000000000001,7.700000000000000,"(39.76396646620, -105.032302333)",39.763966470000000,-105.032302299999998,10.900000000000000,9.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,3.000000000000000,3.000000000000000
-1,1,107,1,107,CO,Denver,820000,8031005200.000000000000000,0820000-08031005200,3052,9.800000000000001,10.300000000000001,"(39.68543229690, -104.914806497)",39.685432300000002,-104.914806499999997,10.900000000000000,9.699999999999999,0.000000000000000,1.000000000000000,1.000000000000000,3.000000000000000,4.000000000000000
-1,1,108,1,108,CO,Denver,820000,8031002602.000000000000000,0820000-08031002602,2736,9.600000000000000,6.100000000000000,"(39.74333803720, -104.977152661)",39.743338039999998,-104.977152700000005,10.900000000000000,9.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,3.000000000000000,3.000000000000000
-1,1,109,1,109,CO,Denver,820000,8031002601.000000000000000,0820000-08031002601,3087,10.900000000000000,8.400000000000000,"(39.74370817670, -104.983727994)",39.743708179999999,-104.983727999999999,10.900000000000000,9.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,2.000000000000000,2.000000000000000
-1,1,110,1,110,CO,Denver,820000,8031007088.000000000000000,0820000-08031007088,4168,10.699999999999999,9.199999999999999,"(39.70242709630, -104.893307570)",39.702427100000001,-104.893307600000000,10.900000000000000,9.699999999999999,0.000000000000000,0.000000000000000,0.000000000000000,3.000000000000000,3.000000000000000
